session_id,player_id,ping_ms,disconnected
S_9000,P_1060,49.1,0
S_9001,P_1035,17.2,0
S_9002,P_1039,39.9,0
S_9003,P_1080,30.1,0
S_9004,P_1029,14.7,0
S_9005,P_1008,54.8,0
S_9006,P_1063,34.7,0
S_9007,P_1032,43.6,0
S_9008,P_1051,42.7,1
S_9009,P_1088,35.0,0
S_9010,P_1013,69.6,0
S_9011,P_1074,39.3,0
S_9012,P_1052,16.6,0
S_9013,P_1098,34.0,0
S_9014,P_1058,47.5,0
S_9015,P_1077,48.0,0
S_9016,P_1093,23.7,0
S_9017,P_1040,53.9,1
S_9018,P_1067,13.6,0
S_9019,P_1067,57.2,0
S_9020,P_1091,20.2,0
S_9021,P_1007,36.6,0
S_9022,P_1001,56.0,0
S_9023,P_1085,41.8,0
S_9024,P_1040,52.3,0
S_9025,P_1054,49.3,0
S_9026,P_1015,59.3,0
S_9027,P_1092,55.9,0
S_9028,P_1061,33.2,0
S_9029,P_1047,49.5,0
S_9030,P_1029,17.1,0
S_9031,P_1011,39.1,1
S_9032,P_1034,52.3,0
S_9033,P_1010,42.0,0
S_9034,P_1063,46.7,0
S_9035,P_1049,36.8,0
S_9036,P_1084,56.9,0
S_9037,P_1020,38.8,0
S_9038,P_1068,33.0,0
S_9039,P_1047,53.3,0
S_9040,P_1019,18.9,0
S_9041,P_1066,47.5,0
S_9042,P_1043,24.4,0
S_9043,P_1032,59.2,0
S_9044,P_1072,36.1,0
S_9045,P_1060,42.0,0
S_9046,P_1008,46.2,0
S_9047,P_1067,11.1,0
S_9048,P_1034,30.2,0
S_9049,P_1080,55.7,0
S_9050,P_1097,53.0,0
S_9051,P_1087,44.2,0
S_9052,P_1095,19.8,1
S_9053,P_1064,48.8,0
S_9054,P_1007,50.7,0
S_9055,P_1044,40.7,0
S_9056,P_1086,58.3,0
S_9057,P_1046,29.7,0
S_9058,P_1039,32.4,0
S_9059,P_1075,10.0,1
S_9060,P_1053,53.8,0
S_9061,P_1075,44.7,0
S_9062,P_1045,14.8,0
S_9063,P_1046,13.6,0
S_9064,P_1014,26.9,0
S_9065,P_1018,51.9,0
S_9066,P_1025,35.5,0
S_9067,P_1051,27.9,0
S_9068,P_1092,24.9,0
S_9069,P_1021,24.2,0
S_9070,P_1020,11.0,0
S_9071,P_1050,21.9,0
S_9072,P_1037,23.9,0
S_9073,P_1019,50.2,1
